system:index,GEOID,prc_agriculture,prc_developed,.geo
00000000000000001a12,060375703043,0.0,1.0,
000000000000000024a8,060375703031,0.0,1.0,
00000000000000003451,060375703032,6.074814333139397E-4,0.962858071802594,
00000000000000003aee,060375706011,0.0,1.0,
00000000000000005a58,060375703041,0.0,1.0,
00000000000000005a7f,060375706012,0.0,1.0,
00000000000000001a17,060650304002,0.0,0.984058424028871,
00000000000000001db6,060650305022,0.0,1.0,
00000000000000002723,060650304005,0.0,0.9995393334760314,
00000000000000002860,060650304004,0.0,0.9797916214456259,
00000000000000002f14,060650305011,0.0,0.9724990320148357,
000000000000000030d2,060650311001,0.0,0.9336132874281966,
00000000000000003a6d,060650307002,0.0,0.9772115218041798,
00000000000000003b55,060650303002,0.0,0.9897309984866736,
00000000000000004737,060650304001,0.0,0.9961784298592018,
00000000000000004d7e,060650304003,0.0,1.0,
00000000000000004dbb,060650306032,0.0,0.9287029951180896,
00000000000000005379,060650306031,0.0022281834625097205,0.9565176550772,
00000000000000005779,060650305013,0.0,0.974583412618588,
00000000000000001845,060375740002,0.0,1.0,
00000000000000003e47,060375744003,0.012141122696757607,0.9878588773032424,
00000000000000003f3a,060375744006,0.0,1.0,
00000000000000002627,060670016005,0.0,1.0,
000000000000000028db,060670016003,3.9282852249336115E-6,0.9999960717147751,
00000000000000002e8c,060670017002,0.0022074672991854007,0.9977925327008146,
00000000000000005094,060670015002,3.338235426797907E-4,0.9996300874256793,
00000000000000001a9b,060014027002,0.03807461878721142,0.9571660538643871,
00000000000000001b94,060014024001,0.0,1.0,
00000000000000001b99,060014105001,0.02223600197653352,0.976315509005823,
000000000000000020c0,060014015003,0.0,1.0,
00000000000000002400,060014016001,0.0,1.0,
00000000000000002448,060014016002,0.0,1.0,
00000000000000003ac0,060014017001,1.328700329759263E-4,0.9978136840028505,
00000000000000005780,060014027001,0.0037563678153033396,0.9962436321846966,
0000000000000000583e,060014017002,0.005124520832181992,0.9935943489597725,
00000000000000005a48,060014014003,0.0074475386614874664,0.9814395654142147,
00000000000000002d39,060971522034,0.0,1.0,
00000000000000004c22,060971520001,0.003318440116253851,0.9922569730620744,
00000000000000004e5f,060971519004,0.0,0.980438034597829,
00000000000000003f93,060411200003,5.016856085143215E-4,0.8725580728656998,
000000000000000044f6,060411200004,0.0,0.9641064972060918,
00000000000000002722,060650414081,0.05207895337522074,0.9397517990365093,
00000000000000002e2a,060650414042,0.020895644692096524,0.9595146884090628,
00000000000000003054,060650414031,0.001954521983591194,0.957857293120924,
0000000000000000312d,060650414061,0.011426458973971201,0.978575389423804,
00000000000000004ccb,060650414051,0.03234628938094989,0.9534529006469259,
0000000000000000567a,060650414062,0.0,1.0,
00000000000000005681,060650414071,0.04475798285289951,0.9552420171471004,
000000000000000016be,060971543031,0.0,0.05921382428451039,
000000000000000046a1,060971543023,0.0,0.029665072684769058,
00000000000000003fa6,060290048003,9.953899781794911E-4,0.9990046100218205,
00000000000000001f06,060590218221,0.0,0.2266122988932651,
000000000000000047ac,060590218251,0.0,0.27582648091457007,
000000000000000056e8,060590218231,0.0,0.9779413539763904,
00000000000000001911,060372655202,0.0,1.0,
00000000000000002ba4,060372672002,0.0,1.0,
0000000000000000364a,060371392002,0.0,1.0,
00000000000000003365,060855063052,0.03329380147754845,0.9667061985224515,
0000000000000000367c,060855063041,0.0029772676855538307,0.9970227323144462,
00000000000000003e57,060855062041,0.0072617505090344725,0.9927382494909656,
00000000000000004499,060855063023,0.001434986663065132,0.9985650133369348,
00000000000000004fd8,060855063043,0.00917376184194748,0.9908262381580525,
000000000000000055f8,060855063054,0.0,1.0,
00000000000000001cc2,060750228013,0.0,1.0,
0000000000000000489d,060375357021,0.02281096715518912,0.9771890328448106,
00000000000000001d05,060014272003,0.0,1.0,
00000000000000001dd9,060014280002,0.0,1.0,
00000000000000001f07,060014279005,0.0,1.0,
00000000000000002cbc,060014272001,0.0,1.0,
000000000000000034f3,060014281004,0.0,1.0,
00000000000000003566,060014272002,0.0,1.0,
000000000000000038ab,060014280001,0.0,1.0,
00000000000000004941,060014271001,0.0,0.9233782921635052,
00000000000000004b65,060014061003,0.0,0.9003895671013702,
00000000000000004d18,060014279001,0.0,1.0,
00000000000000003bf1,060855103001,0.0,1.0,
00000000000000003f58,060590999041,0.0,1.0,
000000000000000016a6,060450111021,0.0031581324647785786,0.03144717859027292,
00000000000000002746,060450118001,0.00652212114529665,0.04558307725279652,
00000000000000002884,060450112002,0.0035326967756272704,0.03769089720067903,
000000000000000034d1,060450113002,0.0,0.048404785589981104,
00000000000000001803,060070001023,0.0023632221428814314,0.9245979122037468,
00000000000000001faa,060070001031,0.0,0.7332132457444959,
